Ranking,Nome,Categoria,Lançamento,Pontuação G3D,Pontuação G2D,Preço,Interface,Tdp,Clock GPU (MHz),Clock Memória (MHz),Tamanho Memória
440,Intel Arc 130T GPU,Desktop,Feb 2025,"6,173",795,NA,NA,NA,NA,NA,NA
441,FirePro W9000,Workstation,Nov 2012,"6,145",747,$845.00*,PCIe 3.0 x16,274,975 MHz,975 MHz,6144 MB
442,GeForce GTX 960,Desktop,Jan 2015,"6,138",677,$265.00,PCIe 3.0 x16,120,1127 MHz,1127 MHz,4096 MB
443,Radeon R9 380X,Desktop,Jul 2015,"6,128",683,$349.99*,PCIe 3.0 x16,190,970 MHz,NA,4096 MB
444,Intel Arc Pro 130T GPU,Desktop,Sep 2025,"6,124",768,NA,NA,NA,NA,NA,NA
445,Ryzen 9 6900HS with Radeon Graphics,Unknown,May 2022,"6,110",739,NA,NA,NA,NA,NA,NA
446,Radeon R9 280X,Desktop,Apr 2016,"6,082",672,NA,PCIe 3.0 x16,250,850 MHz,850 MHz,3072 MB
447,Quadro M4000M,"Mobile, Workstation",Aug 2015,"6,079",405,$254.91*,PCIe 3.0 x16,100,NA, MHz,4096 MB
448,RTX A400,Desktop,Aug 2024,"6,008",912,$232.99,NA,NA,NA,NA,NA
449,Radeon RX 5500M,Mobile,Mar 2020,"5,992",414,NA,PCIe 4.0 x8,85,1375 MHz,1375 MHz,4096 MB
450,Radeon R9 380,Desktop,Mar 2016,"5,973",664,$89.99*,PCIe 3.0 x16,190,970 MHz,970 MHz,4096 MB
451,GeForce GTX 770,Desktop,Jun 2013,"5,967",567,$249.00*,PCIe 3.0 x16,230,1046 MHz,1046 MHz,4096 MB
452,Radeon 610M Ryzen 9 7845HX,Mobile,Dec 2023,"5,948",586,NA,NA,NA,NA,NA,NA
453,Radeon Ryzen 7 6810U,Desktop,Nov 2024,"5,937",897,NA,NA,NA,NA,NA,NA
454,GRID P40-4Q,Unknown,Apr 2019,"5,926",398,NA,NA,NA,NA,NA,NA
455,GeForce GTX 1050 Ti (Mobile),Mobile,Apr 2019,"5,918",323,NA,PCIe 3.0 x16,NA,1493 MHz,1493 MHz,4096 MB
Insufficient data,Intel Arc Pro A30M,Unknown,Feb 2024,"5,862",696,NA,NA,NA,NA,NA,NA
Insufficient data,RadeonT 760M,Mobile,Feb 2024,"5,846",760,NA,NA,NA,NA,NA,NA
Insufficient data,A40-3Q,Unknown,Jul 2023,"5,842",96,NA,NA,NA,NA,NA,NA
456,Intel Arc Pro,Desktop,Aug 2024,"5,835",685,NA,NA,NA,NA,NA,NA
457,Radeon Ryzen 7 7736U,Unknown,Jan 2023,"5,826",729,NA,NA,NA,NA,NA,NA
458,Radeon Pro 5300M,Mobile,Dec 2019,"5,816",560,NA,PCIe 4.0 x8,85,1000 MHz,1000 MHz,4096 MB
459,Matrox LUMA A380P,Unknown,Feb 2024,"5,811",598,NA,NA,NA,NA,NA,NA
460,Ryzen 7 PRO 6850H with Radeon Graphics,Unknown,Sep 2024,"5,791",902,NA,NA,NA,NA,NA,NA
461,DisplayLink USB Device Ryzen 7 7735HS,Desktop,Jan 2026,"5,768",896,NA,NA,NA,NA,NA,NA
462,Ryzen 9 PRO 6950H,Unknown,Dec 2022,"5,759",950,NA,NA,NA,NA,NA,NA
463,Intel Arc Pro A40/A50,Unknown,Aug 2023,"5,758",713,NA,NA,NA,NA,NA,NA
464,Tesla K80,Unknown,May 2022,"5,754",488,$158.02,NA,NA,NA,NA,NA
465,GeForce MX570,Unknown,Jun 2022,"5,750",388,NA,NA,NA,NA,NA,NA
