Ranking,Nome,Categoria,Lançamento,Pontuação G3D,Pontuação G2D,Preço,Interface,Tdp,Clock GPU (MHz),Clock Memória (MHz),Tamanho Memória
567,Radeon HD 7870,Desktop,Jun 2012,"4,568",585,$176.00*,PCIe 3.0 x16,175,1000 MHz,1000 MHz,2048 MB
568,B8DKMDAP,Unknown,May 2018,"4,557",534,NA,NA,NA,NA,NA,NA
569,Radeon Pro 465,Unknown,Aug 2019,"4,538",562,NA,NA,NA,NA,NA,NA
570,FirePro S10000,Unknown,Oct 2015,"4,537",494,NA,NA,NA,NA,NA,NA
571,Radeon Ryzen 7 PRO 6860Z,Unknown,Jan 2023,"4,536",693,NA,NA,NA,NA,NA,NA
572,FirePro S7000,Workstation,Feb 2014,"4,524",705,$246.54*,PCIe 3.0 x16,150,950 MHz,950 MHz,4096 MB
Insufficient data,GRID RTX6000-8Q,Desktop,Apr 2025,"4,514",102,NA,NA,NA,NA,NA,NA
573,Quadro P1000,Workstation,Apr 2017,"4,504",580,$289.99*,PCI Express 3.0 x16,47,1354 MHz,1354 MHz,4096 MB
574,Intel Arc 130V GPU,Desktop,Oct 2024,"4,495",619,NA,NA,NA,NA,NA,NA
575,Tesla K40c,Unknown,May 2022,"4,495",325,NA,NA,NA,NA,NA,NA
576,Radeon R7 370,Desktop,Apr 2016,"4,482",616,NA,PCIe 3.0 x16,150,NA,NA,NA
577,Radeon HD 7870 XT,Desktop,May 2013,"4,470",661,NA,PCIe 3.0 x16,185,925 MHz,925 MHz,2048 MB
579,GeForce GTX 1050 (Mobile),Mobile,Apr 2019,"4,463",292,NA,PCIe 3.0 x16,NA,1354 MHz,1354 MHz,4096 MB
578,Radeon Ryzen 9 PRO 6950HS,Unknown,Jan 2023,"4,463",816,NA,NA,NA,NA,NA,NA
580,DisplayLink USB Device Ryzen 7 6800H,Desktop,Nov 2025,"4,445",472,NA,NA,NA,NA,NA,NA
581,GeForce MX550,Unknown,Jan 2022,"4,443",388,NA,NA,NA,NA,NA,NA
582,GRID T4-16Q,Unknown,Aug 2023,"4,435",73,NA,NA,NA,NA,NA,NA
583,Tesla K20m,Unknown,Jan 2022,"4,432",210,NA,NA,NA,NA,NA,NA
584,GRID P6-4Q,Unknown,Mar 2018,"4,429",586,NA,NA,NA,NA,NA,NA
Insufficient data,A2-4Q,Desktop,Nov 2025,"4,423",66,NA,NA,NA,NA,NA,NA
585,GeForce GTX 660 Ti,Desktop,Aug 2012,"4,410",475,$144.00*,PCIe 3.0 x16,150,915 MHz,915 MHz,3072 MB
586,NVIDIA A40-4Q,Unknown,Dec 2022,"4,407",87,NA,NA,NA,NA,NA,NA
587,FirePro W7000 Adapter,Unknown,Sep 2013,"4,383",603,NA,NA,NA,NA,NA,NA
Insufficient data,DisplayLink USB Device Ryzen 7 PRO 6850U,Desktop,Jan 2026,"4,381",635,NA,NA,NA,NA,NA,NA
588,Radeon Ryzen 7 170,Desktop,Jan 2026,"4,349",621,NA,NA,NA,NA,NA,NA
589,GRID GTX P40-6,Unknown,Dec 2020,"4,340",277,NA,NA,NA,NA,NA,NA
591,PCI\VEN_1002&DEV_164E&SUBSYS_D0001458&REV_C7 Ryzen,Unknown,Feb 2022,"4,339",621,NA,NA,NA,NA,NA,NA
590,Quadro K4200,Workstation,Sep 2014,"4,339",502,$249.00*,PCIe 2.0 x16,105,780 MHz,780 MHz,4096 MB
592,NVIDIA A40-12Q,Unknown,Mar 2022,"4,336",81,NA,NA,NA,NA,NA,NA
593,RTX Pro 6000 Blackwell DC-3Q,Desktop,Mar 2026,"4,324",74,NA,NA,NA,NA,NA,NA
594,FirePro W7000,Workstation,Oct 2012,"4,311",585,$278.05*,PCIe 3.0 x16,150,950 MHz,950 MHz,4096 MB
595,Radeon R9 270,Unknown,Nov 2018,"4,306",567,NA,NA,NA,NA,NA,NA
596,Radeon 680M Ryzen 7 7735HS,Mobile,Jul 2023,"4,298",737,NA,NA,NA,NA,NA,NA
Insufficient data,GRID RTX6000P-4Q,Unknown,Aug 2020,"4,283",76,NA,NA,NA,NA,NA,NA
597,GRID V100DX-8Q,Desktop,Mar 2026,"4,276",79,NA,NA,NA,NA,NA,NA
598,Quadro M2200,"Mobile, Workstation",Apr 2017,"4,265",373,$249.99*,PCIe 3.0 x16,55,1025 MHz,1025 MHz,4096 MB
599,Radeon R9 270 / R7 370,Desktop,Dec 2013,"4,260",645,$213.16*,PCIe 3.0 x16,150,"900,975 MHz","900,975 MHz",2048 MB
600,NVIDIA A40-8Q,Unknown,Dec 2022,"4,252",74,NA,NA,NA,NA,NA,NA
Insufficient data,RTXA6000-8Q,Unknown,Apr 2023,"4,237",86,NA,NA,NA,NA,NA,NA
601,Radeon Ryzen 7 6800U,Unknown,Dec 2022,"4,224",525,NA,NA,NA,NA,NA,NA
Insufficient data,Radeon Eng Sample: 100-000000536-40_Y,Desktop,Aug 2025,"4,211",820,NA,NA,NA,NA,NA,NA
602,Eng Sample: 100-000000561-40_Y,Unknown,Jan 2025,"4,206",749,NA,NA,NA,NA,NA,NA
Insufficient data,GRID RTX8000P-12A,Unknown,Feb 2024,"4,166",78,NA,NA,NA,NA,NA,NA
603,GRID V100D-8Q,Unknown,Aug 2019,"4,156",518,NA,NA,NA,NA,NA,NA
Insufficient data,Winsta0\\Default,Desktop,Apr 2024,"4,125",250,NA,NA,NA,NA,NA,NA
604,Radeon RX 460,Desktop,Aug 2016,"4,098",583,$166.81*,PCIe 3.0 x8,75,1090 MHz,1090 MHz,4096 MB
605,FirePro W8000,Workstation,Feb 2013,"4,092",518,$573.00*,PCIe 3.0 x16,189,900 MHz,900 MHz,4096 MB
606,Ryzen 7 PRO 6850HS with Radeon Graphics,Unknown,Jun 2022,"4,087",776,NA,NA,NA,NA,NA,NA
607,GeForce GTX 480,Desktop,Aug 2012,"4,078",431,$169.99*,PCIe 2.0 x16,250,700 MHz,700 MHz,1536 MB
608,L4-2Q,Desktop,Feb 2025,"4,062",62,NA,NA,NA,NA,NA,NA
609,Radeon PRO Ryzen 5 PRO 6650U,Unknown,Dec 2022,"4,060",782,NA,NA,NA,NA,NA,NA
610,RadeonT 660M Ryzen 5 7535HS,Mobile,Jul 2023,"4,051",701,NA,NA,NA,NA,NA,NA
611,GeForce GTX 660,Desktop,Sep 2012,"4,048",492,$295.00,PCIe 3.0 x16,140,980 MHz,980 MHz,3072 MB
612,Quadro M2000,Workstation,May 2016,"4,039",568,$264.24*,PCIe 3.0 x16,75,1180 MHz,1180 MHz,4096 MB
613,L4-6Q,Desktop,Feb 2025,"4,034",68,NA,NA,NA,NA,NA,NA
614,Radeon HD 7800-serie,Unknown,Oct 2014,"4,029",708,NA,NA,NA,NA,NA,NA
Insufficient data,Radeon 660M Ryzen 5 Pro 7535U,Mobile,Oct 2025,"4,025",858,NA,NA,NA,NA,NA,NA
615,Quadro K5000,Workstation,Nov 2012,"3,993",457,$249.00*,PCIe 2.0 x16,122,706 MHz,706 MHz,4096 MB
616,Radeon Eng Sample: 100-000000263-50_Y,Desktop,Sep 2025,"3,975",924,NA,NA,NA,NA,NA,NA
Insufficient data,GRID RTX8000-4Q,Unknown,Jun 2020,"3,961",81,NA,NA,NA,NA,NA,NA
617,Radeon Instinct MI25 MxGPU,Unknown,Jan 2020,"3,955",280,NA,NA,NA,NA,NA,NA
618,GeForce GTX 775M,Mobile,Nov 2013,"3,940",537,NA,NA,NA,NA,NA,NA
Insufficient data,MacroSilicon USB Display Ryzen 7 6800U,Desktop,Nov 2025,"3,940",475,NA,NA,NA,NA,NA,NA
619,GeForce GTX 570,Desktop,Aug 2012,"3,933",475,$149.99*,PCIe 2.0 x16,219,732 MHz,732 MHz,2560 MB
620,A16-2Q,Unknown,Nov 2023,"3,926",81,NA,NA,NA,NA,NA,NA
621,GRID P6-2Q,Unknown,Sep 2018,"3,926",337,NA,NA,NA,NA,NA,NA
622,Radeon RX Vega M GL,Unknown,Feb 2018,"3,920",453,NA,NA,NA,NA,NA,NA
623,GeForce GTX 1050 with Max-Q Design,Mobile,Aug 2018,"3,916",278,NA,PCIe 3.0 x16,NA,999 MHz,999 MHz,4096 MB
624,Radeon HD 7850,Desktop,May 2012,"3,905",577,$171.24*,PCIe 3.0 x16,130,860 MHz,860 MHz,2048 MB
625,GeForce GTX 750 Ti,Desktop,Feb 2014,"3,900",532,$105.99,PCIe 3.0 x16,60,1020 MHz,1020 MHz,4096 MB
626,Radeon R9 M390X,Mobile,Jan 2016,"3,895",465,NA,PCIe 3.0 x16,100,723 MHz,723 MHz,4096 MB
627,GeForce GTX 780M,Mobile,Jun 2013,"3,890",423,$499.00*,PCIe 3.0 x16,122,797 MHz,NA,4096 MB
628,GRID M60-8Q,Unknown,Mar 2017,"3,884",618,NA,NA,NA,NA,NA,NA
629,Radeon HD 8970M,Mobile,Apr 2014,"3,876",807,$139.99*,PCIe 3.0 x16,100,850 MHz,850 MHz,4096 MB
631,A16-16Q,Desktop,Apr 2025,"3,873",78,NA,NA,NA,NA,NA,NA
630,Matrox LUMA A310F,Unknown,Jul 2023,"3,873",493,NA,NA,NA,NA,NA,NA
632,GeForce GTX 965M,Mobile,Jan 2015,"3,870",350,NA,PCIe 3.0 x16,60,944 MHz,944 MHz,4096 MB
Insufficient data,nVidia L40S-48Q,Desktop,Apr 2025,"3,869",78,NA,NA,NA,NA,NA,NA
633,Radeon Ryzen 7 Pro 7735U,Unknown,Jan 2024,"3,858",618,NA,NA,NA,NA,NA,NA
634,A16-4Q,Desktop,May 2024,"3,854",84,NA,NA,NA,NA,NA,NA
Insufficient data,EIZO MED-XN43,Desktop,May 2024,"3,843",767,NA,NA,NA,NA,NA,NA
Insufficient data,GRID RTX8000P-2Q,Unknown,Nov 2020,"3,843",84,NA,NA,NA,NA,NA,NA
635,GeForce GTX 880M,Mobile,Mar 2014,"3,841",334,NA,PCIe 3.0 x16,130,993 MHz,NA,8192 MB
636,GRID P40-1Q,Desktop,Jun 2025,"3,839",460,NA,NA,NA,NA,NA,NA
637,GRID M60-4Q,Workstation,Apr 2016,"3,831",278,NA,NA,NA,NA,NA,NA
638,Radeon 840M,Mobile,Apr 2025,"3,814",869,NA,NA,NA,NA,NA,NA
Insufficient data,GRID V100-2Q,Unknown,May 2022,"3,811",78,NA,NA,NA,NA,NA,NA
639,T400 4GB,Unknown,Mar 2022,"3,809",669,NA,NA,NA,NA,NA,NA
640,Radeon R9 M485X,Unknown,Apr 2017,"3,801",388,NA,NA,NA,NA,NA,NA
641,GeForce GTX 680MX,Mobile,Jan 2013,"3,799",458,NA,PCIe 3.0 x16,122,719 MHz,NA,4096 MB
642,GRID T4-2Q,Unknown,Mar 2021,"3,799",71,NA,NA,NA,NA,NA,NA
643,Radeon Ryzen 5 6600HS Creator Edition,Unknown,Dec 2022,"3,795",742,NA,NA,NA,NA,NA,NA
644,FirePro S7150,Unknown,Nov 2016,"3,770",414,"$1,697.99*",NA,NA,NA,NA,NA
645,Barco MXRT 7500,Unknown,Nov 2015,"3,753",731,$299.00*,NA,NA,NA,NA,NA
646,Ryzen 5 Pro 7535U with Radeon Graphics,Unknown,May 2024,"3,750",688,NA,NA,NA,NA,NA,NA
Insufficient data,Ryzen 5 PRO 6650H with Radeon Graphics,Unknown,Aug 2022,"3,727",845,NA,NA,NA,NA,NA,NA
647,Radeon Ryzen 5 PRO 6650H,Unknown,Jul 2024,"3,724",754,NA,NA,NA,NA,NA,NA
648,Radeon 680M,Unknown,Dec 2024,"3,717",621,NA,NA,NA,NA,NA,NA
649,GeForce MX450,Unknown,Oct 2020,"3,715",305,NA,NA,NA,NA,NA,NA
650,A40-4Q,Desktop,Sep 2025,"3,712",79,NA,NA,NA,NA,NA,NA
651,Quadro P620,Workstation,Jun 2018,"3,705",527,$574.55*,PCI Express 3.0 x16,40,1266 MHz,1266 MHz,2048 MB
652,P102-100,Desktop,Nov 2024,"3,703",134,NA,NA,NA,NA,NA,NA
653,GRID M60-1Q,Unknown,May 2017,"3,695",181,NA,NA,NA,NA,NA,NA
654,FirePro W7170M,Unknown,Feb 2016,"3,694",368,NA,NA,NA,NA,NA,NA
655,Ryzen 5 6600HS Creator Edition,Unknown,Nov 2022,"3,691",705,NA,NA,NA,NA,NA,NA
657,GRID P40-1B,Desktop,Jun 2025,"3,690",90,NA,NA,NA,NA,NA,NA
656,Matrox LUMA A310,Unknown,Jul 2023,"3,690",506,NA,NA,NA,NA,NA,NA
658,Radeon Pro WX 4100,Workstation,Mar 2017,"3,683",640,$499.99*,PCIe 3.0 x8,50,1125 MHz,1125 MHz,4096 MB
659,Radeon RX 560,Desktop,Mar 2017,"3,681",486,$243.93*,PCIe 3.0 x8,80,1175 MHz,1175 MHz,4096 MB
Insufficient data,Ryzen 5 7535HS with Radeon Graphics,Unknown,Feb 2022,"3,680",731,NA,NA,NA,NA,NA,NA
660,Radeon Pro 560X,Unknown,Dec 2018,"3,678",711,NA,NA,NA,NA,NA,NA
661,GRID T4-4Q,Unknown,Feb 2021,"3,675",80,NA,NA,NA,NA,NA,NA
662,P104-100,Unknown,May 2020,"3,665",122,$299.99*,NA,NA,NA,NA,NA
663,Radeon HD 7970M,Mobile,Jun 2012,"3,663",471,NA,PCIe 3.0 x16,75,850 MHz,850 MHz,4096 MB
Insufficient data,L40S-12A,Desktop,Jun 2025,"3,660",79,NA,NA,NA,NA,NA,NA
664,T400,Unknown,Aug 2021,"3,624",581,$199.99,NA,NA,NA,NA,NA
665,T500,Unknown,Jan 2021,"3,618",300,NA,NA,NA,NA,NA,NA
666,Quadro K2200,Workstation,Sep 2014,"3,581",547,$268.30*,PCIe 2.0 x16,68,1000 MHz,1000 MHz,4096 MB
667,Ryzen 5 6600H with Radeon Graphics,Unknown,Apr 2020,"3,580",641,NA,NA,NA,NA,NA,NA
Insufficient data,GRID RTX8000-2Q,Unknown,Oct 2021,"3,574",86,NA,NA,NA,NA,NA,NA
668,GeForce GTX 680M KY_Bullet Edition,Mobile,Oct 2017,"3,569",581,NA,NA,NA,NA,NA,NA
669,GRID M6-8Q,Unknown,Dec 2017,"3,568",556,NA,NA,NA,NA,NA,NA
670,VMware Horizon Indirect Display Driver,Desktop,Jan 2025,"3,565",376,NA,NA,NA,NA,NA,NA
671,Radeon 610M Ryzen 9 8940HX,Mobile,Aug 2025,"3,563",426,NA,NA,NA,NA,NA,NA
672,GeForce GTX 870M,Mobile,Mar 2014,"3,547",280,NA,PCIe 3.0 x16,110,967 MHz,967 MHz,6144 MB
Insufficient data,L4-12Q,Desktop,Jul 2025,"3,544",88,NA,NA,NA,NA,NA,NA
673,Quadro K2200M,Unknown,Apr 2015,"3,534",360,$124.95*,NA,NA,NA,NA,NA
674,Ryzen 5 PRO 6650U with Radeon Graphics,Unknown,Apr 2022,"3,534",714,NA,NA,NA,NA,NA,NA
Insufficient data,Radeon 680M Ryzen 7 Pro 7735U,Mobile,Sep 2025,"3,531",819,NA,NA,NA,NA,NA,NA
675,Ryzen 5 PRO 6650U,Unknown,Dec 2022,"3,519",766,NA,NA,NA,NA,NA,NA
676,Radeon Ryzen 5 PRO 6650U,Unknown,Dec 2022,"3,517",671,NA,NA,NA,NA,NA,NA
677,GRID K520,Workstation,Nov 2013,"3,516",160,$149.99*,NA,NA,NA,NA,NA
678,Quadro 7000,Workstation,Nov 2011,"3,505",397,NA,PCIe 2.0 x16,204,651 MHz,651 MHz,6144 MB
679,Radeon Ryzen 5 6600H,Unknown,Dec 2022,"3,482",740,NA,NA,NA,NA,NA,NA
680,Radeon Pro 560,Unknown,Sep 2017,"3,475",724,NA,NA,NA,NA,NA,NA
681,Radeon Pro W5500M,Mobile,Jan 2020,"3,470",482,NA,PCIe 4.0 x8,85,1000 MHz,1000 MHz,4096 MB
682,GeForce GTX 960A,Unknown,Dec 2015,"3,465",312,NA,NA,NA,NA,NA,NA
683,Radeon Pro 460,Unknown,May 2017,"3,453",679,NA,NA,NA,NA,NA,NA
684,A16-1Q,Desktop,Feb 2025,"3,431",69,NA,NA,NA,NA,NA,NA
685,Radeon RX 560X,Desktop,Aug 2018,"3,428",426,NA,PCIe 3.0 x8,75,1175 MHz,1175 MHz,4096 MB
686,Tesla C2050 / C2070,Workstation,May 2013,"3,428",568,NA,PCIe 2.0 x16,238,NA, MHz,6144 MB
687,GeForce GTX 650 Ti BOOST,Desktop,Apr 2013,"3,407",473,NA,PCIe 3.0 x16,134,980 MHz,980 MHz,2048 MB
688,Quadro M2000M,"Mobile, Workstation",Nov 2015,"3,407",332,$213.16*,PCIe 3.0 x16,55,NA, MHz,4096 MB
689,GeForce GTX 960M,Mobile,Apr 2015,"3,374",244,"$1,169.00*",PCIe 3.0 x16,65,1097 MHz,1097 MHz,4096 MB
690,Radeon HD8970M,Mobile,Dec 2014,"3,369",663,NA,NA,NA,NA,NA,NA
691,Radeon E8870PCIe,Unknown,Oct 2017,"3,368",708,NA,NA,NA,NA,NA,NA
692,Quadro K5100M,Workstation,Jan 2014,"3,352",353,"$1,108.84*",PCIe 3.0 x16,100,771 MHz,771 MHz,8192 MB
693,GRID P100-8Q,Unknown,Jan 2020,"3,346",203,NA,NA,NA,NA,NA,NA
694,GRID RTX6000P-2B,Desktop,Nov 2025,"3,343",62,NA,NA,NA,NA,NA,NA
695,GeForce GTX 590,Desktop,Mar 2011,"3,341",394,$435.00*,PCIe 2.0 x16,365,607 MHz,607 MHz,3072 MB
696,A2-2Q,Desktop,Oct 2025,"3,331",58,NA,NA,NA,NA,NA,NA
697,Quadro P600,Workstation,Apr 2017,"3,330",528,$210.58*,PCIe 3.0 x16,40,1354 MHz,1354 MHz,2048 MB
698,Ryzen 5 7535U with Radeon Graphics,Unknown,Feb 2022,"3,324",619,NA,NA,NA,NA,NA,NA
699,Radeon Ryzen 5 7533HS,Desktop,Apr 2025,"3,321",700,NA,NA,NA,NA,NA,NA
700,A40-24Q,Unknown,Feb 2023,"3,318",59,NA,NA,NA,NA,NA,NA
Insufficient data,GRID P4-2A,Desktop,Mar 2025,"3,307",56,NA,NA,NA,NA,NA,NA
701,Radeon Eng Sample: 100-000000546-40_Y,Desktop,Dec 2025,"3,307",876,NA,NA,NA,NA,NA,NA
Insufficient data,SMI USB Display Ryzen 7 7735HS,Desktop,Nov 2025,"3,307",716,NA,NA,NA,NA,NA,NA
702,GRID T4-1Q,Unknown,Sep 2020,"3,303",78,NA,NA,NA,NA,NA,NA
703,GeForce GTX 750,Desktop,Feb 2014,"3,302",521,$85.99,PCIe 3.0 x16,55,1020 MHz,1020 MHz,2048 MB
704,GeForce GTX 680M,Mobile,Jul 2012,"3,277",354,$135.99*,PCIe 3.0 x16,100,719 MHz,NA,4096 MB
705,L40S-24Q,Desktop,Apr 2025,"3,257",69,NA,NA,NA,NA,NA,NA
706,GeForce 770M,Mobile,Jun 2016,"3,246",500,$176.99*,NA,NA,NA,NA,NA
707,Snapdragon X Elite - X1E001DE - Qualcomm Adreno GP,Desktop,Sep 2024,"3,246",347,NA,NA,NA,NA,NA,NA
708,Radeon R9 M290X,Mobile,Jul 2014,"3,244",411,NA,PCIe 3.0 x16,100,850 MHz,850 MHz,4096 MB
709,Radeon R9 M470X,Mobile,Sep 2016,"3,244",426,NA,PCI-E 3.0 x16,75,NA, MHz,4096 MB
710,Custom GPU 0932,Desktop,Aug 2024,"3,243",338,NA,NA,NA,NA,NA,NA
Insufficient data,GRID P4-4A,Desktop,Mar 2025,"3,240",51,NA,NA,NA,NA,NA,NA
711,Ryzen 5 6600U with Radeon Graphics,Unknown,Jul 2022,"3,233",754,NA,NA,NA,NA,NA,NA
712,Radeon Ryzen 5 7535HS,Unknown,Apr 2023,"3,225",664,NA,NA,NA,NA,NA,NA
713,Radeon 660M Ryzen 5 6600H,Mobile,Feb 2024,"3,207",645,NA,NA,NA,NA,NA,NA
714,GRID P4-8A,Unknown,Feb 2024,"3,206",71,NA,NA,NA,NA,NA,NA
715,Quadro M1200,"Mobile, Workstation",Jan 2017,"3,206",302,NA,NA,45,1093 MHz,1093 MHz,4096 MB
716,Radeon Ryzen 5 6600U,Unknown,Dec 2022,"3,205",666,NA,NA,NA,NA,NA,NA
717,Radeon R7 260X,Desktop,Oct 2013,"3,204",521,$139.99*,PCIe 3.0 x16,115,1100 MHz,1100 MHz,2048 MB
718,Radeon Ryzen 7 4800H,Unknown,Mar 2021,"3,183",519,NA,NA,NA,NA,NA,NA
719,Intel Graphics,Unknown,Feb 2024,"3,180",598,NA,NA,NA,NA,NA,NA
720,Tesla C2050,Unknown,Sep 2010,"3,176",362,$269.99*,NA,NA,NA,NA,NA
723,FirePro V7000,Unknown,Oct 2013,"3,162",668,NA,NA,NA,NA,NA,NA
721,GeForce GTX 470,Desktop,Aug 2012,"3,162",409,$59.99*,PCIe 2.0 x16,215,607 MHz,607 MHz,1280 MB
722,GRID P4-2Q,Unknown,Mar 2018,"3,162",47,NA,NA,NA,NA,NA,NA
724,Radeon Ryzen 5 7535U,Unknown,Jun 2023,"3,149",716,NA,NA,NA,NA,NA,NA
726,Radeon 660M,Mobile,Dec 2024,"3,143",641,NA,NA,NA,NA,NA,NA
725,Tesla K40m,Unknown,Nov 2021,"3,143",184,NA,NA,NA,NA,NA,NA
727,Radeon Pro 555,Unknown,Jun 2017,"3,141",659,"$1,049.00*",NA,NA,NA,NA,NA
Insufficient data,Radeon RX 670,Desktop,Jan 2026,"3,129",385,NA,NA,NA,NA,NA,NA
728,Radeon R7 360,Desktop,Jun 2015,"3,126",526,$145.99*,PCIe 3.0 x16,100,1050 MHz,1050 MHz,2048 MB
729,Tesla C2070,Workstation,Feb 2011,"3,121",462,$604.00*,PCIe 2.0 x16,247,575 MHz,575 MHz,6144 MB
730,Radeon HD 6990,Desktop,Mar 2011,"3,118",504,$498.49*,PCIe 2.1 x16,375,830 MHz,830 MHz,2048 MB
731,Radeon Pro 455,Unknown,Dec 2018,"3,113",705,$449.00*,NA,NA,NA,NA,NA
Insufficient data,Matrox LUMA A310FP,Unknown,Oct 2023,"3,093",504,NA,NA,NA,NA,NA,NA
733,GeForce GTX 860M,Mobile,Apr 2014,"3,090",229,$114.00*,PCIe 3.0 x16,45,1085 MHz,1085 MHz,2048 MB
732,Radeon HD 7790,Desktop,Apr 2013,"3,090",459,$139.99*,PCIe 3.0 x16,85,1000 MHz,1000 MHz,2048 MB
734,GeForce GTX 675MX,Mobile,Jan 2013,"3,083",390,NA,PCIe 3.0 x16,100,667 MHz,NA,4096 MB
735,Radeon 660M Ryzen 5 7535HS,Mobile,Aug 2023,"3,077",738,NA,NA,NA,NA,NA,NA
736,GeForce GTX 560 Ti,Desktop,Aug 2012,"3,076",440,$129.99*,PCIe 2.0 x16,170,822 MHz,822 MHz,2048 MB
Insufficient data,DisplayLink USB Device Ryzen 7 5800H,Desktop,Dec 2025,"3,071",827,NA,NA,NA,NA,NA,NA
737,L4-2A,Desktop,May 2025,"3,063",64,NA,NA,NA,NA,NA,NA
738,Radeon R9 260,Unknown,May 2016,"3,048",508,NA,NA,NA,NA,NA,NA
739,Radeon Ryzen 9 7950X 16-Core,Unknown,Dec 2022,"3,045",580,NA,NA,NA,NA,NA,NA
740,Radeon Ryzen 7 4800HS,Unknown,Mar 2021,"3,044",544,NA,NA,NA,NA,NA,NA
741,Qualcomm Adreno X1-85 GPU,Desktop,Jul 2024,"3,041",465,NA,NA,NA,NA,NA,NA
Insufficient data,EIZO MED-X5000,Unknown,Jan 2022,"3,038",405,NA,NA,NA,NA,NA,NA
742,Radeon 610M Ryzen 9 8945HX,Mobile,Nov 2025,"3,032",542,NA,NA,NA,NA,NA,NA
743,Radeon R9 360,Desktop,Oct 2015,"3,032",460,$133.89*,PCIe 3.0 x16,85,1000 MHz,NA,2048 MB
744,Tesla C2075,Unknown,Jan 2012,"3,017",428,$646.00*,NA,NA,NA,NA,NA
745,Snapdragon X Elite - X1E84100 - Qualcomm Adreno GP,Desktop,Jun 2024,"2,981",518,NA,NA,NA,NA,NA,NA
746,Radeon 740M,Mobile,Sep 2023,"2,980",786,NA,NA,NA,NA,NA,NA
747,FirePro W5100,Workstation,Nov 2014,"2,977",533,$125.99*,PCIe 3.0 x16,75,930 MHz,930 MHz,4096 MB
748,FirePro W5000,Workstation,Oct 2012,"2,971",562,$184.00*,PCIe 3.0 x16,75,825 MHz,825 MHz,2048 MB
749,Tesla M10,Unknown,May 2019,"2,969",264,$271.00,NA,NA,NA,NA,NA
750,Quadro K1200,Workstation,Apr 2015,"2,960",573,$285.29*,PCIe 2.0 x16,45,NA, MHz,4096 MB
751,Ryzen 9 5900HX with Radeon Graphics,Unknown,Jan 2021,"2,956",724,NA,NA,NA,NA,NA,NA
752,GRID K260Q,Workstation,Feb 2015,"2,949",361,NA,NA,NA,NA,NA,NA
753,Radeon Ryzen 7 PRO 5800H,Desktop,May 2024,"2,945",780,NA,NA,NA,NA,NA,NA
754,Custom GPU 0405,Unknown,Apr 2022,"2,942",385,NA,NA,NA,NA,NA,NA
755,Radeon 660M Ryzen 5 7533HS,Mobile,Jun 2025,"2,938",746,NA,NA,NA,NA,NA,NA
756,GRID M10-4Q,Unknown,Aug 2018,"2,937",209,NA,NA,NA,NA,NA,NA
757,A10-4Q,Desktop,Jul 2025,"2,924",183,NA,NA,NA,NA,NA,NA
758,Radeon RX Vega Ryzen 7 5825U,Desktop,Mar 2025,"2,916",549,NA,NA,NA,NA,NA,NA
759,GRID P40-1A,Desktop,Apr 2024,"2,894",46,NA,NA,NA,NA,NA,NA
760,Radeon R7 260,Desktop,Jul 2014,"2,892",559,$89.99*,PCIe 3.0 x16,95,1000 MHz,1000 MHz,1024 MB
761,Radeon Ryzen 7 PRO 5755G,Desktop,Aug 2025,"2,886",830,NA,NA,NA,NA,NA,NA
762,FirePro M6100 FireGL V,Unknown,Mar 2017,"2,885",330,NA,NA,NA,NA,NA,NA
Insufficient data,Ryzen 7 PRO 4700G with Radeon Graphics,Unknown,Aug 2020,"2,880",712,NA,NA,NA,NA,NA,NA
Insufficient data,Radeon Eng Sample: 100-000000295-40_Y,Desktop,Sep 2025,"2,879",812,NA,NA,NA,NA,NA,NA
763,Radeon Pro WX 4170,Mobile,Dec 2019,"2,870",316,NA,PCIe 3.0 x8,50,1002 MHz,1002 MHz,4096 MB
764,Radeon Pro V340 MxGPU,Unknown,Nov 2018,"2,853",118,NA,NA,NA,NA,NA,NA
765,Radeon Ryzen 7 5800H,Unknown,Sep 2021,"2,844",693,NA,NA,NA,NA,NA,NA
766,GRID K280Q,Workstation,Feb 2015,"2,840",371,NA,NA,NA,NA,NA,NA
767,Quadro M1000M,"Mobile, Workstation",Nov 2015,"2,835",308,$85.99*,PCIe 3.0 x16,40,993 MHz,993 MHz,4096 MB
768,Radeon HD 8950,Desktop,Aug 2014,"2,834",368,NA,PCIe 3.0 x16,225,850 MHz,850 MHz,3072 MB
769,Radeon HD 6970,Desktop,Aug 2012,"2,831",436,$149.99*,PCIe 2.1 x16,250,880 MHz,880 MHz,2048 MB
770,GeForce MX350,Unknown,Mar 2020,"2,820",238,NA,NA,NA,NA,NA,NA
771,FirePro 3D V9800,Workstation,May 2011,"2,812",556,"$2,499.00*",PCIe 2.1 x16,225,850 MHz,850 MHz,4096 MB
772,Quadro K5000M,Workstation,Aug 2012,"2,805",358,$508.91*,PCIe 3.0 x16,100,706 MHz,706 MHz,4096 MB
774,GeForce GTX 770M,Mobile,Jun 2013,"2,795",334,$138.00*,PCIe 3.0 x16,75,797 MHz,797 MHz,3072 MB
773,Ryzen 7 5800HS with Radeon Graphics,Unknown,Mar 2021,"2,795",569,NA,NA,NA,NA,NA,NA
775,Quadro K4100M,Workstation,Dec 2013,"2,791",336,$261.29*,PCIe 3.0 x16,100,706 MHz,706 MHz,4096 MB
