Ranking,Nome,Categoria,Lançamento,Pontuação (Multi),Pontuação (Single),Preço,Socket,Tdp,cpuCounts,Núcleos,Threads,Clock Base (MHz),Clock Turbo (MHz)
1,AMD EPYC 9J45,Server,Apr 2025,"201,335","3,488",NA,Unknown,NA,2,128,2,4121,NA
2,AMD EPYC 9575F,Server,Oct 2024,"200,551","4,257","$15,374.00*",SP5,400,2,64,2,3300,5000
3,AMD EPYC 9755,Server,May 2025,"198,588","3,505","$25,968.00*",SP5,500,2,128,2,2700,4100
4,AMD EPYC 9K65,Server,Apr 2025,"187,923","3,176",NA,SP5,NA,2,192,2,2250,2700
5,AMD EPYC 9655,Server,Dec 2024,"184,114","3,493","$23,704.00*",SP5,400,2,96,2,2600,4500
6,AMD EPYC 9965,Server,Oct 2024,"183,557","3,111","$29,626.00*",SP5,500,2,192,2,2250,3700
7,AMD EPYC 9555,Server,Jan 2025,"182,471","3,743","$19,652.00*",SP5,360,2,64,2,3200,4200
1,AMD Ryzen Threadripper PRO 9995WX,"Desktop, Server",May 2025,"173,772","4,551",NA,sTR5,350,1,96,2,2500,5400
8,AMD EPYC 9745,Server,Oct 2024,"173,717","3,157","$24,282.00*",SP5,400,2,128,2,2400,3700
9,AMD EPYC 9475F,Server,Jun 2025,"166,467","3,846","$15,184.00*",SP5,400,2,48,2,3650,4800
2,AMD EPYC 9755,Server,May 2025,"166,328","3,503","$12,984.00*",SP5,500,1,128,2,2700,4100
3,AMD EPYC Embedded 9755,Mobile/Embedded,Jul 2025,"164,010","3,508",NA,Unknown,500,1,128,2,2700,4100
10,AMD EPYC 9845,Server,Dec 2024,"163,334","3,023","$27,128.00*",SP5,390,2,160,2,2100,3700
11,Intel Xeon 6960P,Server,Aug 2025,"160,785","3,164","$19,250.00*",FCLGA7529,500,2,72,2,2700,3900
4,AMD EPYC 9965,Server,Oct 2024,"160,542","3,176","$14,813.00*",SP5,500,1,192,2,2250,3700
5,AMD EPYC 9655P,Server,Nov 2024,"160,490","3,849","$10,811.00*",SP5,400,1,96,2,2600,4500
6,AMD EPYC 9B45,Server,May 2025,"158,790","3,540","$13,564.00*",SP5,390,1,32,8,2100,3700
12,Intel Xeon Platinum 8490H,Server,May 2025,"157,156","2,925","$68,000.00*",FCLGA4677,350,4,60,2,1900,3500
13,Intel Xeon 6767P,Server,Aug 2025,"157,028","3,298",NA,FCLGA4710,350,2,64,2,2400,3900
7,AMD EPYC 9655,Server,Dec 2024,"156,110","3,847","$11,852.00*",SP5,400,1,96,2,2600,4500
14,Intel Xeon 6760P,Server,Mar 2025,"153,187","3,214",NA,FCLGA4710,330,2,64,2,2200,3800
8,AMD EPYC 9845,Server,Dec 2024,"152,985","3,144","$13,564.00*",SP5,390,1,160,2,2100,3700
15,AMD EPYC 9684X,Server,Mar 2024,"152,240","2,889","$15,500.00*",SP5,400,2,96,2,2550,3700
9,AMD Ryzen Threadripper PRO 9985WX,"Desktop, Server",Jul 2025,"151,853","4,491","$7,999.00*",sTR5,350,1,64,2,3200,5400
16,Intel Xeon 6787P,Server,Apr 2025,"148,896","3,137","$20,800.00*",FCLGA4710,350,2,86,2,2000,3800
10,AMD EPYC 9575F,Server,Oct 2024,"147,998","4,173","$7,687.00*",SP5,400,1,64,2,3300,5000
17,AMD EPYC 9474F,Server,Apr 2023,"147,947","3,215","$12,407.32*",SP5,360,2,48,2,3600,4100
18,AMD EPYC 9B14,Server,Nov 2023,"145,397","2,859",NA,Unknown,NA,2,96,2,2600,3700
19,AMD EPYC 9654,Server,Nov 2022,"143,680","2,757","$10,097.90*",SP5,360,2,96,2,2400,3700
11,AMD Ryzen Threadripper 9980X,Desktop,May 2025,"143,079","4,527","$4,949.99*",sTR5,350,1,64,2,3200,5400
20,AMD EPYC 9634,Server,Feb 2024,"142,281","2,863","$7,899.98*",SP5,290,2,84,2,3100,3700
21,Intel Xeon 6747P,Server,May 2025,"142,257","3,227","$12,994.00*",FCLGA4710,330,2,48,2,2700,3900
22,AMD EPYC 9554,Server,Apr 2023,"142,100","2,947","$5,590.00*",SP5,360,2,64,2,3100,3750
12,AMD Ryzen Threadripper PRO 7995WX,"Desktop, Server",Oct 2023,"141,731","3,834","$9,879.97*",sTR5,350,1,96,2,2500,5100
23,Intel Xeon Platinum 8570,Server,Sep 2024,"137,588","3,224","$19,190.00*",FCLGA4677,350,2,56,2,2100,4000
13,AMD EPYC 9555P,Server,Feb 2025,"135,990","3,743","$7,983.00*",SP5,360,1,64,2,3200,4200
14,AMD Ryzen Threadripper 7980X,Desktop,Nov 2023,"135,583","4,020","$4,858.99*",sTR5,350,1,64,2,3200,5100
24,AMD EPYC 9275F,Server,Jan 2025,"135,300","4,134","$6,878.00*",SP5,320,2,24,2,4100,4500
15,AMD EPYC 9565,Server,Jul 2025,"135,221","3,696","$10,486.00*",SP5,400,1,72,2,3150,4300
25,AMD EPYC 9534,Server,Jun 2023,"135,059","2,882","$7,299.90*",SP5,280,2,64,2,2450,3700
16,AMD EPYC 9555 Emb,Server,Feb 2026,"133,832","3,757",NA,SP5,360,1,64,2,3200,4400
26,Intel Xeon Platinum 8558P,Server,Mar 2025,"133,223","3,217",NA,FCLGA4677,350,2,48,2,2700,4000
17,AMD Ryzen Threadripper PRO 7985WX,"Desktop, Server",Oct 2023,"132,603","3,953","$7,858.02*",sTR5,350,1,64,2,3200,5100
27,AMD Instinct MI300A Accelerator,Server,Nov 2025,"132,020","2,926",NA,Unknown,550,4,24,2,3700,NA
18,AMD EPYC 9745,Server,Oct 2024,"130,698","2,806","$12,141.00*",SP5,400,1,128,2,2400,3700
19,Intel Xeon 6960P,Server,Aug 2025,"130,659","3,287","$9,625.00*",FCLGA7529,500,1,72,2,2700,3900
28,AMD EPYC 9754,Server,Nov 2023,"130,346","2,364","$9,899.90*",SP5,360,2,128,2,2250,3100
29,AMD EPYC 9734,Server,Aug 2023,"130,034","2,369","$13,196.00*",SP5,340,2,112,2,2200,3000
30,AMD EPYC 9454,Server,Jul 2023,"129,701","2,982","$6,500.00*",SP5,290,2,48,2,2750,3800
31,Intel Xeon Platinum 8488C,Server,Aug 2023,"127,207","3,096",NA,Unknown,385,2,48,2,2400,3800
32,Intel Xeon Platinum 8568Y+,Server,Jul 2024,"127,172","3,033","$12,994.00*",FCLGA4677,350,2,48,2,2300,4000
33,Intel Xeon 6737P,Server,Apr 2025,"127,075","3,366","$9,990.00*",FCLGA4710,270,2,32,2,2900,4000
34,Intel Xeon Platinum 8480+,Server,Apr 2023,"126,353","2,996","$21,420.00*",FCLGA4677,350,2,56,2,2000,3800
35,AMD EPYC 9335,Server,Sep 2025,"126,118","3,559","$6,356.00*",SP5,210,2,32,2,3000,4400
36,Intel Xeon 6736P,Server,Apr 2025,"125,444","3,445",NA,FCLGA4710,205,2,36,2,3400,4100
20,AMD EPYC 9J14,Server,Jul 2023,"124,637","2,903",NA,SP5,NA,1,96,2,2600,3700
37,Intel Xeon 6530P,Server,Apr 2025,"124,434","3,453","$4,468.00*",FCLGA4710,225,2,32,2,2300,4100
38,Intel Xeon Gold 6448H,Server,Oct 2023,"123,361","2,664","$14,632.00*",FCLGA4677,250,4,32,2,3400,4100
39,Intel Xeon 6740P,Server,Apr 2025,"123,062","2,987","$9,300.00*",FCLGA4710,270,2,48,2,2100,3800
21,AMD EPYC 9475F,Server,Jun 2025,"122,476","3,779","$7,592.00*",SP5,400,1,48,2,3650,4800
22,AMD EPYC 9684X,Server,Mar 2024,"122,017","2,892","$7,750.00*",SP5,400,1,96,2,2550,3700
40,AMD EPYC 9384X,Server,Oct 2024,"121,560","3,085","$11,058.00*",SP5,320,2,32,2,3100,3900
41,AMD EPYC 9374F,Server,Feb 2023,"121,404","3,135","$10,910.00*",SP5,320,2,32,2,3850,4300
42,Intel Xeon Platinum 8468,Server,Mar 2024,"121,219","2,967","$14,428.00*",FCLGA4677,350,2,48,2,2100,3800
23,AMD EPYC 9B14,Server,Nov 2023,"119,505","2,886",NA,Unknown,NA,1,96,2,2600,3700
24,AMD EPYC 9654,Server,Nov 2022,"119,235","2,898","$5,048.95*",SP5,360,1,96,2,2400,3700
43,AMD EPYC 7J13,Server,Apr 2021,"119,134","2,594",NA,Unknown,NA,2,64,2,2550,3500
25,Intel Xeon 6781P,Server,Oct 2025,"117,946","3,152","$8,960.00*",FCLGA4710,350,1,80,2,2000,3800
44,Intel Xeon Platinum 8559C,Server,Dec 2025,"117,672","2,590",NA,FCLGA4677,NA,2,48,2,2400,NA
26,AMD EPYC 9654P,Server,Jul 2023,"117,647","2,760","$5,345.00*",SP5,360,1,96,2,2400,3700
27,AMD EPYC 9V74,Server,Feb 2025,"117,606","2,888",NA,SP5,400,1,80,2,2600,3700
45,Intel Xeon 6730P,Server,Jul 2025,"117,335","3,152","$7,452.00*",FCLGA4710,250,2,32,2,2500,3800
46,Intel Xeon Platinum 8458P,Server,Mar 2024,"117,136","2,841","$13,518.00*",FCLGA4677,350,2,44,2,2700,3800
29,AMD EPYC 9455P,Server,Jan 2025,"116,927","3,745","$4,819.00*",SP5,300,1,48,2,3150,4400
28,AMD EPYC Embedded 9654P,Server,Dec 2025,"116,927","2,901",NA,Unknown,NA,1,96,2,NA,NA
30,AMD EPYC 9R14,Server,Aug 2023,"116,475","2,920",NA,Unknown,NA,1,96,2,3701,NA
47,AMD EPYC 7T83,Server,Apr 2022,"115,522","2,540",NA,SP3,280,2,64,2,2450,3500
31,AMD EPYC 9754 Emb,Server,Jan 2026,"115,016","2,403",NA,SP5,360,1,128,2,2250,3100
32,AMD EPYC 9535,Server,Feb 2026,"114,528","3,720","$7,439.00*",SP5,300,1,64,2,2400,4300
48,Intel Xeon Platinum 8580,Server,Dec 2024,"114,407","2,402","$21,420.00*",FCLGA4677,350,2,60,2,2000,4000
33,AMD EPYC 9D25,Server,Nov 2025,"114,275","2,481",NA,Unknown,NA,1,126,2,NA,NA
49,AMD Ryzen Threadripper PRO 3995WX,"Desktop, Server",Sep 2020,"113,693","2,559","$5,801.98*",sWRX8,280,2,64,2,2700,4200
50,AMD EPYC 9354,Server,Aug 2023,"113,544","2,934","$5,500.00*",SP5,280,2,32,2,3250,3800
51,AMD EPYC 7763,Server,Mar 2021,"113,441","2,446","$3,027.48*",SP3,280,2,64,2,2450,3500
34,AMD EPYC 9455 Emb,Server,Jan 2026,"111,385","3,785",NA,SP5,NA,1,48,2,3150,4100
52,AMD EPYC 9274F,Server,Jun 2023,"111,349","3,290","$4,980.00*",SP5,NA,2,24,2,4050,4300
53,Intel Xeon Platinum 8462Y+,Server,Mar 2023,"111,234","3,054","$11,890.00*",FCLGA4677,300,2,32,2,2800,4100
54,Intel Xeon Max 9480,Server,Mar 2024,"111,213","2,528","$1,840.80*",FCLGA4677,350,2,56,2,1900,3500
55,AMD EPYC 7B13,Server,Sep 2021,"110,944","2,461",NA,Unknown,240,2,64,2,2200,3500
56,AMD EPYC 7773X,Server,Jun 2022,"110,931","2,439","$3,126.00*",SP3,280,2,64,2,2200,3500
57,Intel Xeon Gold 6554S,Server,Mar 2025,"110,835","3,267","$5,672.50*",FCLGA4677,270,2,36,2,2200,4000
58,Intel Xeon Platinum 8457C,Server,Oct 2024,"109,905","2,564",NA,FCLGA4677,NA,2,48,2,2600,3800
59,AMD EPYC 9334,Server,Jun 2023,"109,616","3,041","$4,700.00*",SP5,NA,2,32,2,2700,3910
60,Intel Xeon Platinum 8470,Server,Oct 2024,"109,610","2,485","$18,718.00*",FCLGA4677,350,2,52,2,2000,3800
61,AMD EPYC 7R13,Server,Dec 2021,"109,348","2,438",NA,Unknown,NA,2,48,2,2649,NA
62,AMD EPYC 7713,Server,Mar 2021,"109,207","2,454","$3,331.90",SP3,225,2,64,2,2000,3675
63,Intel Xeon 6527P,Server,Feb 2026,"109,054","3,494","$5,756.00*",FCLGA4710,255,2,24,2,3000,4200
64,Intel Xeon Platinum 8592+,Server,Sep 2024,"108,721","2,388","$23,200.00*",FCLGA4677,350,2,64,2,1900,3900
65,AMD EPYC 7Y83,Mobile/Embedded,Dec 2023,"108,281","2,622",NA,SP3,280,2,64,2,2250,3500
35,AMD EPYC 9634,Server,Feb 2024,"107,944","2,924","$3,949.99*",SP5,290,1,84,2,3100,3700
36,AMD Ryzen Threadripper 9970X,Desktop,Jul 2025,"107,104","4,535","$2,385.00*",sTR5,350,1,32,2,4000,5400
37,AMD Ryzen Threadripper PRO 9975WX,"Desktop, Server",Jul 2025,"106,052","4,385","$3,924.00*",sTR5,350,1,32,2,4000,5400
66,Intel Xeon Platinum 8558,Server,May 2025,"105,534","2,554","$7,665.98",FCLGA4677,330,2,48,2,2100,4000
38,AMD EPYC 9554P,Server,Jul 2023,"104,920","2,737","$4,550.00*",SP5,360,1,64,2,3100,3750
67,AMD EPYC 7573X,Server,Aug 2022,"103,466","2,665","$10,500.00*",SP3,280,2,32,2,2800,3600
68,Intel Xeon Platinum 8562Y+,Server,Sep 2024,"102,877","2,912","$11,890.00*",FCLGA4677,300,2,32,2,2800,4100
39,AMD EPYC 9554,Server,Apr 2023,"102,607","2,839","$2,795.00*",SP5,360,1,64,2,3100,3750
69,Intel Xeon E7-8890 v4 @ 2.20GHz,Server,Apr 2022,"102,411","2,211","$57,392.00*",LGA2011-v3,165,8,24,2,2200,3400
40,AMD EPYC 9734,Server,Aug 2023,"102,286","2,310","$6,598.00*",SP5,340,1,112,2,2200,3000
41,AMD EPYC 9474F,Server,Apr 2023,"102,255","3,155","$6,203.66*",SP5,360,1,48,2,3600,4100
70,AMD EPYC 7K83,Server,Jul 2022,"102,053","2,458",NA,Unknown,NA,2,64,2,3529,NA
42,Intel Xeon 6747P,Server,May 2025,"101,685","3,236","$6,497.00*",FCLGA4710,330,1,48,2,2700,3900
71,AMD EPYC 75F3,Server,Jun 2021,"101,429","2,664","$6,588.90",SP3,280,2,32,2,2950,4000
43,Intel Xeon 6741P,Server,Apr 2025,"100,660","3,195","$4,421.00*",FCLGA4710,300,1,48,2,2500,3800
72,Intel Xeon Gold 6448Y,Server,Apr 2023,"100,642","3,065","$7,166.00*",FCLGA4677,225,2,32,2,2100,4100
73,Intel Xeon Gold 6548Y+,Server,Mar 2024,"100,613","3,132","$7,452.00*",FCLGA4677,205,2,32,2,2500,4100
74,AMD EPYC 7V13,Server,May 2021,"100,318","2,171",NA,SP3,240,2,64,2,2450,3700
44,Intel Xeon 696X,Server,Dec 2025,"100,042","3,717","$5,599.00*",FCLGA4710,350,1,64,2,2200,4600
45,AMD Ryzen Threadripper 7970X,Desktop,Dec 2023,"99,273","4,172","$1,999.99*",sTR5,350,1,32,2,4000,5300
75,Intel Xeon 6740E,Server,Sep 2024,"99,184","2,016","$10,530.00*",FCLGA4710,250,2,96,1,2400,3200
76,AMD Ryzen Threadripper PRO 3975WX,"Desktop, Server",Oct 2020,"98,811","2,676","$2,799.98*",sWRX8,280,2,32,2,3500,4200
46,Intel Xeon w9-3595X,Server,Sep 2024,"98,558","3,704","$5,889.00*",FCLGA4677,385,1,60,2,2000,4800
47,AMD EPYC 9754,Server,Nov 2023,"98,450","2,308","$4,949.95*",SP5,360,1,128,2,2250,3100
77,AMD EPYC 7543,Server,Jun 2021,"98,031","2,688","$7,522.00*",SP3,240,2,32,2,2800,3700
48,AMD EPYC 9355P,Server,Jan 2025,"97,235","3,742","$2,998.00*",SP5,280,1,32,2,3550,4400
78,AMD EPYC 7662,Server,Apr 2021,"97,178","2,089","$9,158.00*",SP3,225,2,64,2,2000,3300
79,Intel Xeon Gold 6538Y+,Server,Nov 2025,"96,953","2,834",NA,FCLGA4677,225,2,32,2,2200,4000
80,AMD EPYC 9255,Server,May 2025,"96,899","3,693",NA,SP5,200,2,24,2,4000,4300
81,Intel Xeon Platinum 8469C,Server,Oct 2025,"96,642","3,064",NA,FCLGA4677,350,2,48,2,2500,3800
82,AMD EPYC 7643,Server,Mar 2021,"96,440","2,189","$2,534.00*",SP3,225,2,48,2,2300,3600
49,AMD EPYC 9375F,Server,Jan 2025,"95,768","3,762","$5,306.00*",SP5,320,1,32,2,3800,4400
83,Intel Xeon Gold 6542Y,Server,Sep 2024,"95,662","3,054","$5,756.00*",FCLGA4677,250,2,24,2,2900,4100
50,AMD Ryzen Threadripper PRO 7975WX,"Desktop, Server",Oct 2023,"95,512","3,986","$3,929.32*",sTR5,350,1,32,2,4000,5300
84,AMD EPYC 7B12,Server,Jun 2021,"95,394","2,048",NA,SP3,240,2,64,2,2249,3300
85,AMD EPYC 9254,Server,May 2023,"95,370","3,103","$3,990.00*",SP5,200,2,24,2,2900,4150
86,AMD EPYC 7742,Server,Sep 2019,"95,172","2,067","$1,227.96*",SP3,225,2,64,2,2250,3400
51,AMD Ryzen Threadripper PRO 5995WX,"Desktop, Server",Mar 2022,"95,026","3,236","$3,220.00*",sWRX8,280,1,64,2,2700,4500
87,AMD EPYC 74F3,Server,Oct 2021,"95,023","2,976","$4,797.90*",SP3,240,2,24,2,3200,4000
52,AMD EPYC 9454P,Server,Jul 2023,"94,708","2,988","$3,450.00*",SP5,290,1,48,2,2750,3800
88,Intel Xeon Gold 6438Y+,Server,Jul 2023,"94,596","3,279","$6,282.00*",FCLGA4677,205,2,32,2,2000,4000
89,AMD EPYC 7V73X,Server,Feb 2023,"94,451","2,277","$5,999.90*",Unknown,280,2,64,2,2200,3500
90,Intel Xeon 6520P,Server,May 2025,"93,834","3,194","$2,590.00*",FCLGA4710,210,2,24,2,2400,4000
53,Intel Xeon Platinum 8570,Server,Sep 2024,"93,722","3,256","$9,595.00*",FCLGA4677,350,1,56,2,2100,4000
91,AMD EPYC 7513,Server,Jun 2021,"93,312","2,727","$3,384.80*",SP3,200,2,32,2,2600,3650
92,Intel Xeon 6776P,Server,Nov 2025,"93,165","1,944","$19,750.00*",FCLGA4710,350,2,64,2,2300,3900
93,AMD EPYC 7R12,Server,Mar 2023,"92,961","2,142",NA,SP3,200,2,48,2,2200,3300
54,AMD Ryzen Threadripper PRO 9965WX,"Desktop, Server",Jul 2025,"92,768","4,532","$2,699.99*",sTR5,350,1,24,2,4200,5400
55,AMD Ryzen Threadripper 9960X 24-Cores,Desktop,Jul 2025,"92,728","4,567",NA,sTR5,350,1,24,2,4200,5300
56,Intel Xeon 678X,Server,Jan 2026,"92,125","3,851","$3,749.00*",FCLGA4710,300,1,48,2,2400,4900
94,Intel Xeon Gold 6438M,Server,Dec 2024,"91,911","3,113","$6,546.00*",FCLGA4677,205,2,32,2,2200,3900
95,Intel Xeon Gold 6530,Server,Apr 2024,"91,769","2,898","$3,693.00*",FCLGA4677,270,2,32,2,2100,4000
96,Intel Xeon Gold 6442Y,Server,May 2023,"91,737","3,095","$5,756.00*",FCLGA4677,225,2,24,2,2600,4000
97,AMD EPYC 7V12,Server,Jan 2020,"91,701","2,042",NA,SP3,240,2,64,2,2500,NA
57,AMD EPYC 7773X,Server,Jun 2022,"91,340","2,561","$1,563.00*",SP3,280,1,64,2,2200,3500
58,Intel Xeon 6740P,Server,Apr 2025,"90,684","2,772","$4,650.00*",FCLGA4710,270,1,48,2,2100,3800
59,Intel Xeon w9-3495X,Server,May 2023,"90,597","3,443","$5,889.00*",FCLGA4677,350,1,56,2,1900,4800
60,Intel Xeon Platinum 8470 @2.00GHz,Server,Sep 2023,"89,850","3,153","$9,359.00*",FCLGA4677,350,1,52,2,2000,3800
98,AMD EPYC 7702,Server,May 2020,"89,599","1,979","$5,140.08*",SP3,200,2,64,2,2000,3350
99,AMD EPYC 7K62,Server,May 2022,"89,531","2,126",NA,SP3,NA,2,48,2,2600,3300
61,AMD EPYC 9534,Server,Jun 2023,"89,492","2,797","$3,649.95*",SP5,280,1,64,2,2450,3700
62,Intel Xeon Platinum 8488C,Server,Aug 2023,"88,667","3,113",NA,Unknown,385,1,48,2,2400,3800
100,Intel Xeon Platinum 8176M @ 2.10GHz,Server,Feb 2020,"88,102","2,379",NA,FCLGA3647,165,4,28,2,2100,3800
101,Intel Xeon Platinum 8368 @ 2.40GHz,Server,Apr 2021,"88,038","2,345","$15,562.36*",FCLGA4189,270,2,38,2,2400,3400
63,AMD EPYC 9454,Server,Jul 2023,"87,961","2,807","$3,250.00*",SP5,290,1,48,2,2750,3800
102,Intel Xeon Platinum 8369B @ 2.90GHz,Server,Jul 2024,"87,459","2,499",NA,FCLGA4189,270,2,32,2,2900,3500
103,Intel Xeon Platinum 8450H,Server,Aug 2024,"87,103","2,902","$9,416.00*",FCLGA4677,250,2,28,2,2000,3500
104,Intel Xeon Platinum 8370C @ 2.80GHz,Server,Apr 2022,"86,883","2,467",NA,FCLGA4189,270,2,32,2,2800,3500
64,Intel Xeon 6780E,Server,Sep 2025,"86,734","1,923","$8,513.00*",FCLGA4710,330,1,144,1,2200,3000
105,AMD EPYC 7H12,Server,Dec 2019,"86,680","2,083","$2,950.00*",SP3,280,2,64,2,2600,3300
106,Intel Xeon Platinum 8375C @ 2.90GHz,Server,Aug 2021,"86,393","2,463",NA,FCLGA4189,300,2,32,2,2900,3500
107,Intel Xeon Gold 6428N,Server,Aug 2024,"86,030","2,672","$6,400.00*",FCLGA4677,185,2,32,2,1800,3800
108,Intel Xeon Platinum 8380 @ 2.30GHz,Server,Aug 2021,"85,937","2,189","$14,602.00*",FCLGA4189,270,2,40,2,2300,3400
109,Intel Xeon Gold 5420+,Server,Apr 2023,"85,769","2,944","$3,696.00*",FCLGA4677,205,2,28,2,2000,4100
110,Intel Xeon Gold 6454S,Server,Jun 2023,"85,725","2,355","$6,314.00*",FCLGA4677,270,2,32,2,2200,3400
111,AMD EPYC 9135,Server,Dec 2024,"85,694","3,326","$2,428.00*",SP5,200,2,16,2,3650,4300
65,Intel Xeon w9-3575X,Server,Sep 2024,"84,959","3,756","$3,789.00*",FCLGA4677,340,1,44,2,2200,4800
66,AMD EPYC 7J13,Server,Apr 2021,"84,786","2,450",NA,Unknown,NA,1,64,2,2550,3500
112,Intel Xeon 6710E,Server,Sep 2024,"84,654","1,954","$5,498.00*",FCLGA4710,205,2,64,1,2400,3200
67,AMD EPYC 9275F,Server,Jan 2025,"84,620","3,810","$3,439.00*",SP5,320,1,24,2,4100,4500
68,Intel Xeon 674X,Server,Feb 2026,"84,536","4,006",NA,FCLGA4710,270,1,28,2,3000,4900
113,Intel Xeon Gold 6418H,Server,Jul 2023,"84,526","2,901","$4,130.00*",FCLGA4677,185,2,24,2,2100,4000
69,AMD EPYC 7763,Server,Mar 2021,"84,440","2,513","$1,513.74*",SP3,280,1,64,2,2450,3500
70,Intel Xeon 6745P,Server,Jan 2026,"84,210","3,450","$5,250.00*",FCLGA4710,300,1,32,2,3100,4300
71,Intel Xeon Platinum 8592+,Server,Sep 2024,"84,013","2,411","$11,600.00*",FCLGA4677,350,1,64,2,1900,3900
114,Intel Xeon Platinum 8260 @ 2.40GHz,Server,Sep 2019,"83,793","2,297","$6,560.00*",FCLGA3647,165,4,24,2,2400,3900
115,AMD EPYC 9224,Server,Jun 2023,"83,623","2,601","$3,580.00*",SP5,200,2,24,2,2500,3700
72,AMD Ryzen Threadripper 7960X,Desktop,Dec 2023,"83,605","4,124","$1,517.53*",sTR5,350,1,24,2,4200,5300
116,AMD EPYC 9V94,Server,Mar 2025,"83,538","1,902",NA,SP5,NA,2,128,2,2450,NA
73,AMD EPYC 7R43,Server,Oct 2024,"83,535","2,551",NA,SP3,280,1,64,2,2250,NA
117,AMD EPYC 9175F,Server,Mar 2025,"83,406","3,108","$8,512.00*",SP5,320,2,16,2,4200,5000
118,Intel Xeon Gold 5320H @ 2.40GHz,Server,Aug 2024,"83,263","2,571","$6,220.00*",FCLGA4189,150,4,20,2,2400,4200
74,AMD EPYC 7713,Server,Mar 2021,"83,018","2,647","$1,665.95",SP3,225,1,64,2,2000,3675
75,Intel Xeon Max 9480,Server,Mar 2024,"82,913","2,674",$920.40*,FCLGA4677,350,1,56,2,1900,3500
119,Intel Xeon Platinum 8358 @ 2.60GHz,Server,Aug 2021,"82,893","2,349","$8,597.90*",FCLGA4189,250,2,32,2,2600,3400
76,AMD Ryzen Threadripper PRO 3995WX,"Desktop, Server",Sep 2020,"82,711","2,589","$2,900.99*",sWRX8,280,1,64,2,2700,4200
77,AMD Ryzen Threadripper PRO 7965WX,"Desktop, Server",Oct 2023,"82,100","4,004","$2,699.21*",sTR5,350,1,24,2,4200,5300
120,Intel Xeon Platinum 8358P @ 2.60GHz,Server,Oct 2022,"82,052","2,378",NA,FCLGA4189,240,2,32,2,2600,3400
78,AMD EPYC 9374F,Server,Feb 2023,"82,009","3,135","$5,455.00*",SP5,320,1,32,2,3850,4300
79,AMD EPYC 7663,Server,Jan 2024,"81,821","2,596",NA,SP3,240,1,56,2,2000,3500
121,Intel Xeon Platinum 8338C @ 2.60GHz,Server,Jun 2023,"81,817","2,439",NA,FCLGA4189,250,2,32,2,2600,3500
80,AMD EPYC 7V13,Server,May 2021,"81,764","2,708",NA,SP3,240,1,64,2,2450,3700
81,AMD EPYC 7T83,Server,Apr 2022,"81,757","2,462",NA,SP3,280,1,64,2,2450,3500
122,AMD EPYC 7C13,Server,Jun 2024,"81,691","2,012",NA,Unknown,NA,2,64,2,2000,3700
123,Intel Xeon Gold 6430,Server,Nov 2022,"81,564","2,576","$3,699.74*",Unknown,NA,2,32,2,1900,3400
82,AMD EPYC 7713P,Server,Jan 2022,"81,542","2,626","$2,443.73*",SP3,225,1,64,2,2000,3675
83,AMD EPYC 7A23,Server,Jan 2026,"81,296","2,755",NA,SP3,NA,1,48,2,2650,3733
124,AMD EPYC 7473X,Server,Sep 2022,"81,282","2,201",NA,SP3,240,2,24,2,2800,3700
84,AMD EPYC 7K23,Server,Jun 2025,"81,183","2,788",NA,Unknown,NA,1,48,2,2650,NA
125,AMD EPYC 9174F,Server,Apr 2023,"81,093","3,064","$4,550.00*",SP5,320,2,16,2,4100,4400
126,AMD EPYC 7453,Server,Dec 2021,"80,327","2,371","$2,506.00*",SP3,225,2,28,2,2750,3450
85,AMD EPYC 7B13,Server,Sep 2021,"80,079","2,552",NA,Unknown,240,1,64,2,2200,3500
127,AMD EPYC 9115,Server,Feb 2025,"79,764","3,507","$1,452.00*",SP5,125,2,16,2,2600,4100
86,AMD EPYC 7V73X,Server,Feb 2023,"79,738","2,349","$2,999.95*",Unknown,280,1,64,2,2200,3500
87,AMD Ryzen Threadripper 3990X,Desktop,Feb 2020,"79,730","2,560","$2,997.00*",sTRX4,280,1,64,2,2900,4300
88,Intel Xeon Platinum 8568Y+,Server,Jul 2024,"79,683","2,741","$6,497.00*",FCLGA4677,350,1,48,2,2300,4000
89,Intel Xeon 6737P,Server,Apr 2025,"79,634","3,048","$4,995.00*",FCLGA4710,270,1,32,2,2900,4000
128,Intel Xeon Gold 6544Y,Server,Jul 2024,"79,148","3,208","$11,197.90*",FCLGA4677,270,2,16,2,3600,4100
90,AMD EPYC 7R13,Server,Dec 2021,"79,046","2,606",NA,Unknown,NA,1,48,2,2649,NA
129,AMD EPYC 9184X,Server,Feb 2024,"78,921","2,896","$7,500.00*",SP5,320,2,16,2,3550,4200
130,Intel Xeon 6517P,Server,Mar 2025,"78,866","3,383","$2,390.00*",FCLGA4710,190,2,16,2,3200,4200
131,Intel Xeon Gold 5418Y,Server,Apr 2023,"78,759","2,890","$2,966.00*",FCLGA4677,185,2,24,2,2000,3800
132,AMD EPYC 7502,Server,Nov 2020,"78,579","2,146","$1,650.00*",SP3,180,2,32,2,2500,3350
133,Intel Xeon E7-8880 v3 @ 2.30GHz,Server,Jul 2016,"78,087","1,861","$1,064.00*",LGA2011-1,150,8,18,2,2300,3100
134,AMD EPYC 7532,Server,Aug 2021,"77,962","2,039",$450.00*,SP3,200,2,32,2,2400,3300
