Ranking,Nome,Categoria,Lançamento,Pontuação (Multi),Pontuação (Single),Preço,Socket,Tdp,cpuCounts,Núcleos,Threads,Clock Base (MHz),Clock Turbo (MHz)
1248,Intel Xeon E5-2678 v3 @ 2.50GHz,Server,Aug 2015,"14,652","1,761",$106.19*,LGA2011-v3,120,1,12,2,2500,3100
1249,Intel Core i7-6900K @ 3.20GHz,Desktop,Jun 2016,"14,649","2,344",$92.19,FCLGA2011-3,140,1,8,2,3200,4000
1250,ARM Neoverse-N2 16 Core 0 MHz,Unknown,Jan 2025,"14,636","1,872",NA,Unknown,NA,1,16,1,0,NA
1251,AMD Ryzen 5 5625U,Laptop,Mar 2022,"14,611","2,856",NA,FP6,15,1,6,2,2300,4300
1252,Intel Core i5-13600HRE,Mobile/Embedded,Jun 2025,"14,591","2,127",$347.00*,FCBGA1744,45,1,4,2,2700,4800
1253,Intel Xeon E5-2687W v3 @ 3.10GHz,Server,Oct 2014,"14,564","1,916",$749.95*,LGA2011-v3,160,1,10,2,3100,3500
1254,AMD Ryzen 7 5825C,Mobile/Embedded,Feb 2025,"14,561","2,645",NA,FP6,15,1,8,2,2000,4500
1255,Intel Xeon W-1290TE @ 1.80GHz,Mobile/Embedded,Jan 2025,"14,501","2,708",$552.00*,FCLGA1200,35,1,10,2,1800,4500
1256,Apple A19,Mobile/Embedded,Sep 2025,"14,494","5,066",NA,Unknown,NA,1,2,1,4260,NA
1257,AMD Ryzen 3 PRO 8300GE,Desktop,Apr 2024,"14,491","3,860",NA,AM5,35,1,4,2,3500,4900
1258,Intel Core i7-10875H @ 2.30GHz,Laptop,May 2020,"14,461","2,689",$450.00*,FCBGA1440,45,1,8,2,2300,5100
1259,Intel Core i5-11600T @ 1.70GHz,Desktop,Nov 2021,"14,447","2,821",$213.00*,FCLGA1200,35,1,6,2,1700,4100
493,AMD Opteron 6380,Server,Mar 2015,"14,445","1,217","$1,479.84*",G34,115,4,8,2,2500,3400
1260,Intel Xeon E5-2658 v4 @ 2.30GHz,Server,Dec 2016,"14,434","1,583",$24.99*,FCLGA2011-3,105,1,14,2,2300,2800
1261,Intel Xeon Silver 4123 @ 3.00GHz,Server,Feb 2018,"14,405","1,967",NA,Unknown,105,1,8,2,3000,3200
1262,Intel Core i7-9700K @ 3.60GHz,Desktop,Oct 2018,"14,400","2,860",$190.89,FCLGA1151-2,95,1,8,1,3600,4900
1263,Intel Xeon W-1250P @ 4.10GHz,"Desktop, Server",May 2021,"14,383","2,968",$321.50*,FCLGA1200,125,1,6,2,4100,4800
1264,Intel Xeon W-2135 @ 3.70GHz,Server,Nov 2017,"14,378","2,600","$1,007.70*",FCLGA2066,140,1,6,2,3700,4500
1265,Intel CC150 @ 3.50GHz,Unknown,Jul 2020,"14,375","2,121",NA,FCLGA1151,NA,1,8,2,3500,NA
1267,Intel Core 3 201E,Mobile/Embedded,May 2025,"14,373","3,364",NA,FCLGA1700,60,1,4,2,3600,4800
1266,Mediatek Kompanio Ultra 910,Mobile/Embedded,Nov 2025,"14,373","3,867",NA,Unknown,NA,1,8,1,3626,NA
1268,Intel Core i3-12300,Desktop,Feb 2022,"14,342","3,572",$143.00*,LGA 1700,60,1,4,2,3500,4400
1269,Intel Core i9-10885H @ 2.40GHz,Laptop,Jul 2020,"14,338","2,679",$556.00*,FCBGA1440,45,1,8,2,2400,5300
494,Intel Xeon E5-2470 @ 2.30GHz,Server,Aug 2013,"14,331","1,389",$251.32*,LGA 1356,95,2,8,2,2300,3100
1270,AMD Ryzen 5 4600HS,Laptop,Jul 2020,"14,295","2,391",NA,FP6,35,1,6,2,3000,4000
1272,Intel Core i7-9700KF @ 3.60GHz,Desktop,Apr 2019,"14,257","2,858",$173.05,FCLGA1151-2,95,1,8,1,3600,4900
1271,Intel Xeon E5-2697 v2 @ 2.70GHz,Server,Jun 2013,"14,257","1,781",$193.44*,FCLGA2011,130,1,12,2,2700,3500
1273,Intel Core i5-10600K @ 4.10GHz,Desktop,May 2020,"14,253","2,911",$154.99,FCLGA1200,125,1,6,2,4100,4800
1274,Intel Core 5 220U,Laptop,Jan 2025,"14,240","3,241",NA,FCBGA1744,NA,1,2,2,1400,5000
1275,Intel Core i9-10880H @ 2.30GHz,Laptop,Jul 2020,"14,240","2,771",NA,FCBGA1440,45,1,8,2,2300,5100
